Accession,Release_Date,Species,Length,Geo_Location,Host,Isolation_Source,Collection_Date,GenBank_Title,Protein_Type
BBO58883,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2017-02,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58894,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2017-03,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58902,2019-10-29T00:00:00Z,Betacoronavirus 1,767,Japan:Yamagata,Homo sapiens,oronasopharynx,2017-12,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58903,2019-10-29T00:00:00Z,Betacoronavirus 1,767,Japan:Yamagata,Homo sapiens,oronasopharynx,2017-12,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58877,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2017-02,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58834,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-01,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58870,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-05,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58890,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2017-03,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58830,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-01,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58831,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-01,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58833,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-01,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58835,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-01,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58836,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-01,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58841,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-01,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58842,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-01,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58846,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-02,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58853,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-02,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58854,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-02,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58860,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-02,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58861,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-02,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58865,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-02,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58866,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-02,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58867,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-02,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58878,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2017-02,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58882,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2017-02,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58889,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2017-03,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58891,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2017-03,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58897,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2017-04,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58771,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2013-02,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58762,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2012-03,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58732,2019-10-29T00:00:00Z,Betacoronavirus 1,767,Japan:Yamagata,Homo sapiens,oronasopharynx,2010-10,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58744,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2011-03,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58745,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2011-03,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58739,2019-10-29T00:00:00Z,Betacoronavirus 1,767,Japan:Yamagata,Homo sapiens,oronasopharynx,2010-11,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58740,2019-10-29T00:00:00Z,Betacoronavirus 1,767,Japan:Yamagata,Homo sapiens,oronasopharynx,2010-11,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58756,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2012-02,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58747,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2011-04,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58858,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-02,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58746,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2011-03,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58849,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-02,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58776,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2013-03,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58770,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2013-01,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58812,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-01,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58824,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-01,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58898,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2017-05,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58748,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2011-04,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58821,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-01,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58850,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-02,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58856,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-02,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58874,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2017-02,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58875,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2017-02,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58881,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2017-02,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58868,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-03,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58815,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-01,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58851,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-02,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58887,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2017-03,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58880,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2017-02,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58899,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2017-06,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58742,2019-10-29T00:00:00Z,Betacoronavirus 1,767,Japan:Yamagata,Homo sapiens,oronasopharynx,2010-12,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58803,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-01,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58827,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-01,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58904,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-01,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58905,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2017-03,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58820,2019-10-29T00:00:00Z,Betacoronavirus 1,767,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-01,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58832,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-01,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58837,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-01,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58838,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-01,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58857,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-02,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58727,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2010-10,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58738,2019-10-29T00:00:00Z,Betacoronavirus 1,767,Japan:Yamagata,Homo sapiens,oronasopharynx,2010-11,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58754,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2011-07,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58755,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2012-01,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58767,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2012-12,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58773,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2013-02,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58787,2019-10-29T00:00:00Z,Betacoronavirus 1,767,Japan:Yamagata,Homo sapiens,oronasopharynx,2014-02,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58790,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2014-02,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58796,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2014-12,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58797,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2014-12,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58802,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-01,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58737,2019-10-29T00:00:00Z,Betacoronavirus 1,767,Japan:Yamagata,Homo sapiens,oronasopharynx,2010-11,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58749,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2011-04,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58760,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2012-02,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58761,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2012-02,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58766,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2012-12,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58772,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2013-02,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58778,2019-10-29T00:00:00Z,Betacoronavirus 1,767,Japan:Yamagata,Homo sapiens,oronasopharynx,2014-01,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58814,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-01,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58844,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-01,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58718,2019-10-29T00:00:00Z,Betacoronavirus 1,767,Japan:Yamagata,Homo sapiens,oronasopharynx,2009-03,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58733,2019-10-29T00:00:00Z,Betacoronavirus 1,767,Japan:Yamagata,Homo sapiens,oronasopharynx,2010-10,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58879,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2017-02,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58864,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-02,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58808,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-01,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58809,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-01,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58788,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2014-02,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58743,2019-10-29T00:00:00Z,Betacoronavirus 1,767,Japan:Yamagata,Homo sapiens,oronasopharynx,2011-01,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58765,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2012-12,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58785,2019-10-29T00:00:00Z,Betacoronavirus 1,767,Japan:Yamagata,Homo sapiens,oronasopharynx,2014-02,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58731,2019-10-29T00:00:00Z,Betacoronavirus 1,767,Japan:Yamagata,Homo sapiens,oronasopharynx,2010-10,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58863,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-02,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58779,2019-10-29T00:00:00Z,Betacoronavirus 1,767,Japan:Yamagata,Homo sapiens,oronasopharynx,2014-01,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58826,2019-10-29T00:00:00Z,Betacoronavirus 1,767,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-01,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58839,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-01,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58862,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-02,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58892,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2017-03,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58719,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2009-03,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58712,2019-10-29T00:00:00Z,Betacoronavirus 1,767,Japan:Yamagata,Homo sapiens,oronasopharynx,2009-01,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58717,2019-10-29T00:00:00Z,Betacoronavirus 1,767,Japan:Yamagata,Homo sapiens,oronasopharynx,2009-02,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58728,2019-10-29T00:00:00Z,Betacoronavirus 1,767,Japan:Yamagata,Homo sapiens,oronasopharynx,2010-10,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58730,2019-10-29T00:00:00Z,Betacoronavirus 1,767,Japan:Yamagata,Homo sapiens,oronasopharynx,2010-10,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58845,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-02,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58888,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2017-03,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58893,2019-10-29T00:00:00Z,Betacoronavirus 1,767,Japan:Yamagata,Homo sapiens,oronasopharynx,2017-03,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58873,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2017-02,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58895,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2017-03,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58900,2019-10-29T00:00:00Z,Betacoronavirus 1,767,Japan:Yamagata,Homo sapiens,oronasopharynx,2017-12,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58807,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-01,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58884,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2017-02,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
BBO58819,2019-10-29T00:00:00Z,Betacoronavirus 1,763,Japan:Yamagata,Homo sapiens,oronasopharynx,2015-01,"spike glycoprotein, partial [Human coronavirus OC43]","spike glycoprotein, partial"
QEO75985,2019-09-16T00:00:00Z,Human coronavirus 229E,1171,USA,Homo sapiens,,2018,spike protein [Human coronavirus 229E],spike protein
QEG59356,2019-09-01T00:00:00Z,Human coronavirus NL63,602,China,Homo sapiens,oronasopharynx,2018-07-03,"spike, partial [Human coronavirus NL63]","spike, partial"
QEG59361,2019-09-01T00:00:00Z,Human coronavirus NL63,602,China,Homo sapiens,oronasopharynx,2018-07-06,"spike, partial [Human coronavirus NL63]","spike, partial"
QEG59359,2019-09-01T00:00:00Z,Human coronavirus NL63,603,China,Homo sapiens,oronasopharynx,2018-08-15,"spike, partial [Human coronavirus NL63]","spike, partial"
QEG59358,2019-09-01T00:00:00Z,Human coronavirus NL63,603,China,Homo sapiens,oronasopharynx,2018-08-15,"spike, partial [Human coronavirus NL63]","spike, partial"
QEG59360,2019-09-01T00:00:00Z,Human coronavirus NL63,602,China,Homo sapiens,oronasopharynx,2018-08-01,"spike, partial [Human coronavirus NL63]","spike, partial"
QEG59355,2019-09-01T00:00:00Z,Human coronavirus NL63,602,China,Homo sapiens,oronasopharynx,2018-07-06,"spike, partial [Human coronavirus NL63]","spike, partial"
QEG59362,2019-09-01T00:00:00Z,Human coronavirus NL63,602,China,Homo sapiens,oronasopharynx,2018-08-01,"spike, partial [Human coronavirus NL63]","spike, partial"
QEG59354,2019-09-01T00:00:00Z,Human coronavirus NL63,602,China,Homo sapiens,oronasopharynx,2018-08-01,"spike, partial [Human coronavirus NL63]","spike, partial"
QEG59357,2019-09-01T00:00:00Z,Human coronavirus NL63,602,China,Homo sapiens,oronasopharynx,2018-08-01,"spike, partial [Human coronavirus NL63]","spike, partial"
QEG03776,2019-08-25T00:00:00Z,Betacoronavirus 1,1362,USA,Homo sapiens,,2019,spike protein [Human coronavirus OC43],spike protein
QEG03767,2019-08-25T00:00:00Z,Betacoronavirus 1,1358,USA,Homo sapiens,,2019,spike protein [Human coronavirus OC43],spike protein
QEG03748,2019-08-25T00:00:00Z,Human coronavirus NL63,1355,USA,Homo sapiens,,2019,spike protein [Human coronavirus NL63],spike protein
QEG03757,2019-08-25T00:00:00Z,Betacoronavirus 1,1358,USA,Homo sapiens,,2019,spike protein [Human coronavirus OC43],spike protein
QEG03794,2019-08-25T00:00:00Z,Betacoronavirus 1,1358,USA,Homo sapiens,,2019,spike protein [Human coronavirus OC43],spike protein
QEG03803,2019-08-25T00:00:00Z,Betacoronavirus 1,1362,USA,Homo sapiens,,2019,spike protein [Human coronavirus OC43],spike protein
QEG03814,2019-08-25T00:00:00Z,Betacoronavirus 1,1358,USA,Homo sapiens,,2019,spike protein [Human coronavirus OC43],spike protein
QEG03740,2019-08-25T00:00:00Z,Betacoronavirus 1,1358,USA,Homo sapiens,,2019,spike protein [Human coronavirus OC43],spike protein
QEG03785,2019-08-25T00:00:00Z,Human coronavirus 229E,1171,USA,Homo sapiens,,2019,spike protein [Human coronavirus 229E],spike protein
QEG03731,2019-08-25T00:00:00Z,Human coronavirus NL63,1355,USA,Homo sapiens,,2018,spike protein [Human coronavirus NL63],spike protein
QED88040,2019-08-20T00:00:00Z,Human coronavirus NL63,1355,China,Homo sapiens,oronasopharynx,2018-07-25,spike glycoprotein [Human coronavirus NL63],spike glycoprotein
